RegionName,RegionType,StateName,State,City,Metro,CountyName,2024-11-30
92154,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,778940.6985641773
77429,zip,TX,TX,Cypress,"Houston-The Woodlands-Sugar Land, TX",Harris County,380021.87127432856
10458,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,556906.1900789129
92376,zip,CA,CA,Rialto,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,559566.3072269764
60804,zip,IL,IL,Cicero,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,250627.92333003168
11377,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,937023.1159930432
79938,zip,TX,TX,El Paso,"El Paso, TX",El Paso County,244915.0863577902
92804,zip,CA,CA,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",Orange County,920519.6859327336
91710,zip,CA,CA,Chino,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,776638.2829746216
93722,zip,CA,CA,Fresno,"Fresno, CA",Fresno County,399262.8062939152
94112,zip,CA,CA,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,1087249.6816541867
99301,zip,WA,WA,Pasco,"Kennewick-Richland, WA",Franklin County,408655.8470932711
11235,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,981441.5656273648
60632,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,266480.5095704758
77584,zip,TX,TX,Pearland,"Houston-The Woodlands-Sugar Land, TX",Brazoria County,381518.9755425536
11229,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,912756.1634005364
95823,zip,CA,CA,Sacramento,"Sacramento-Roseville-Folsom, CA",Sacramento County,435281.0520374596
78130,zip,TX,TX,New Braunfels,"San Antonio-New Braunfels, TX",Comal County,318336.85138448543
60617,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,167950.7944647805
22193,zip,VA,VA,Woodbridge,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince William County,491493.1370473018
11233,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1246622.005329159
